Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-5.  Reported Voting and Registration for Total and Citizen Voting-Age Population, by State for Presidential Elections:  1972-2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Voting Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,2012,,2008,,2004,,2000,,1996,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,Total,Citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,56.4,57.4,59.9,61.9,60.8,62.4,61.8,63.2,59.6,60.4,55.6,56.3,63.6,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,59.4,61.3,56.0,58.4,62.4,65.0,65.0,67.6,65.5,67.7,59.5,60.5,68.6,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,53.3,60.4,49.6,55.9,53.3,59.9,54.3,63.8,46.7,52.5,47.3,54.3,64.7,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,56.0,58.7,51.1,53.3,51.8,53.8,56.7,58.7,49.4,50.6,51.5,51.9,58.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,48.2,57.9,47.5,57.5,51.2,63.4,49.1,61.9,46.4,57.9,48.4,61.3,52.8,70.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,63.8,69.5,65.4,70.4,62.5,68.4,61.7,67.5,53.6,57.2,58.8,61.1,68.8,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,57.5,63.9,57.5,62.7,60.8,67.2,58.5,63.2,55.2,59.5,58.5,62.3,71.7,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,57.2,62.3,62.2,67.3,63.0,67.3,62.8,66.4,62.2,64.8,54.7,56.1,66.1,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,68.7,74.3,67.7,75.9,65.3,74.1,62.0,69.2,65.6,71.7,59.6,63.5,66.1,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,52.9,59.5,53.9,60.8,56.5,63.8,56.1,64.3,51.6,59.6,50.7,56.4,55.8,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,55.7,60.2,58.1,61.9,59.6,64.2,52.6,56.8,49.0,50.9,49.6,50.9,54.1,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,43.3,47.3,47.4,51.6,46.8,51.8,46.2,50.8,39.7,44.1,43.1,47.4,55.2,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,58.3,62.1,60.2,63.9,58.8,61.4,58.7,61.6,53.9,56.1,60.1,62.0,66.9,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,58.8,63.8,56.2,61.5,57.1,62.6,61.0,65.6,56.8,62.0,55.6,59.1,65.1,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,56.0,58.3,57.7,59.3,58.8,60.5,57.3,58.6,58.5,59.6,55.8,56.5,63.0,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,60.7,63.4,66.7,69.4,66.9,70.2,68.8,71.3,64.1,67.4,61.1,63.0,70.8,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,58.0,61.3,58.9,63.3,59.8,63.3,59.7,64.2,60.2,61.7,62.0,63.4,71.9,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,55.3,57.0,57.6,59.3,61.4,63.1,63.4,65.0,54.9,56.4,52.8,53.0,57.6,61.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,59.7,61.6,64.7,66.3,68.0,70.3,63.1,64.2,64.6,65.7,61.8,62.7,68.6,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,71.3,72.7,67.2,68.6,70.2,71.2,72.0,73.1,69.2,70.1,67.7,69.4,74.1,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,59.2,65.8,58.7,65.1,61.9,68.3,59.7,65.6,57.1,61.1,54.4,57.2,66.4,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,61.7,66.7,65.4,70.8,61.3,67.1,63.7,68.6,60.1,65.3,56.3,60.8,65.8,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,61.8,64.3,64.5,66.8,65.0,67.8,64.7,67.1,60.1,62.4,58.1,59.9,65.9,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,65.3,68.7,70.5,73.2,70.8,75.0,76.7,79.2,67.8,69.8,66.9,68.9,74.2,78.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,66.7,67.7,73.3,74.5,68.2,69.7,60.7,61.7,59.8,60.6,55.1,55.5,66.7,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,62.8,64.8,62.3,63.9,64.2,65.8,66.3,68.5,65.4,66.7,61.1,61.6,66.2,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,65.2,65.9,64.5,65.7,64.7,65.4,69.9,70.2,62.2,62.9,67.3,68.1,71.4,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,63.4,66.8,58.2,61.6,64.5,67.3,61.3,65.3,58.9,60.3,61.0,62.7,66.1,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,53.5,60.5,51.4,57.9,52.8,59.9,51.3,58.9,46.5,52.1,47.8,53.3,58.1,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,66.9,69.0,66.9,69.4,69.8,71.2,68.9,71.5,63.3,66.6,60.1,61.0,64.6,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,53.4,61.5,54.5,61.9,56.0,64.1,57.6,66.0,55.2,61.8,54.7,60.6,61.2,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,49.4,54.8,56.5,61.6,57.4,62.6,60.9,64.4,51.3,54.4,51.7,55.5,62.6,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,50.7,57.2,50.9,58.7,51.5,58.8,53.1,60.2,51.0,59.0,50.9,58.7,56.8,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,61.6,67.5,63.7,68.9,63.8,67.5,58.2,61.4,53.2,56.1,54.0,55.5,60.0,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,62.1,64.2,62.2,63.9,66.3,67.5,70.8,71.5,69.8,70.4,65.8,66.1,71.1,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,61.4,63.6,61.7,63.1,64.5,65.5,64.8,66.1,58.1,59.2,58.7,59.6,64.3,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,53.2,56.6,51.0,52.4,56.5,58.7,59.2,62.3,58.3,59.7,58.5,59.2,67.5,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,61.0,66.3,63.3,67.6,62.6,67.6,70.6,74.0,60.8,66.6,61.1,63.6,69.1,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,60.2,62.6,59.1,61.6,60.8,62.4,62.5,64.5,55.7,57.4,55.0,56.4,59.9,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island ,55.5,60.6,57.4,62.5,63.0,67.4,57.4,63.7,60.1,63.5,60.6,64.3,69.0,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,59.8,62.1,62.2,64.7,63.4,65.6,62.0,63.2,58.9,59.5,54.5,54.7,58.0,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,57.3,59.1,60.1,61.0,66.1,67.8,67.1,68.3,58.7,59.2,64.3,64.8,70.2,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,52.0,54.0,53.7,55.7,53.6,55.5,52.7,54.6,52.3,53.7,53.1,53.6,55.6,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,47.7,55.4,46.4,53.8,48.8,56.1,50.3,57.1,48.2,54.1,46.2,51.5,55.6,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah ,58.9,62.7,53.3,57.0,50.5,53.1,62.8,67.8,56.3,60.2,53.0,55.5,72.3,75.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,61.0,62.5,62.1,63.3,63.2,64.7,65.4,67.3,63.3,64.2,59.5,60.4,68.6,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,62.6,68.2,62.0,66.9,63.8,68.7,58.4,63.1,57.2,60.3,56.4,58.4,61.2,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,60.5,66.3,60.7,65.6,62.6,66.8,62.0,67.6,58.6,62.0,60.0,62.3,66.3,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,50.4,50.8,47.5,47.8,53.1,53.4,57.2,57.2,52.1,52.4,50.2,50.6,57.3,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,68.7,70.5,71.9,73.6,68.5,71.2,73.0,76.6,67.8,70.1,62.4,64.8,75.3,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,63.5,64.8,57.8,58.9,62.9,64.3,66.3,66.9,62.5,62.9,66.2,66.7,64.2,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data for 1976 show the 25 largest states and data for 1972 show the largest 15 states.  Data are limited  to the largest states in 1976 and 1972 due to smaller sample sizes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Data are not available prior to 1972.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior to 1996, the CPS did not collect information on citizenship in a uniform way. Estimates for the citizenship population presented in this table prior to 1996 should be interpreted with caution, as they are not directly comparable to estimates from 1996 and after.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Report, November 2016 and earlier years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-5.  Reported Voting and Registration for Total and Citizen Voting-Age Population, by State for Presidential Elections:  1972-2016 (Continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Voting Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1988,,1984,,1980,,1976,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Citizen,Total,Citizen,Total,Citizen,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
